Reaction #,E.C. #,Gene ID ,Gene Description,equation,Pathway,References,,,,
rxn1246,,,Ex_prlp,prlpxt <-> prlp,,,,,,
rxn1247,,,Ex_progly,proglyxt -> progly,,,,,,
rxn1248,,geneCsal0391,Ex_proL,proLxt -> proL,,"5,6 ,59,53",,,,
rxn1249,,,Ex_prop,propxt -> prop,,"5,6 ,59",,,,
rxn1250,,,Ex_protrna,protrnaxt <-> protrna,,,,,,
rxn1251,,,Ex_psd5p,psd5pxt <-> psd5p,,,,,,
rxn1252,,,Ex_PSmcysL,PSmcysLxt <-> PSmcysL,,,,,,
rxn1253,,,Ex_PtyrL,PtyrLxt -> PtyrL,,,,,,
rxn1254,,,Ex_Ptyrp,Ptyrpxt <-> Ptyrp,,,,,,
rxn1255,,,Ex_P,Pxt -> P,,,,,,
rxn1256,,,Ex_pyam5p,pyam5pxt -> pyam5p,,,,,,
rxn1257,,,Ex_pydam,pydamxt <-> pydam,,,,,,
rxn1258,,,Ex_pyd,pydx5pxt <-> pydx5p,,,,,,
rxn1259,,,Ex_pyd,pydxnxt -> pydxn,,,,,,
rxn1260,,,Ex_qh2,qh2xt <-> qh2,,,,,,
rxn1261,,,Ex_qn,qnxt -> qn,,,,,,
rxn1262,,,Ex_qtya,qtyaxt <-> qtya,,,,,,
rxn1263,,,Ex_que,quext -> que,,,,,,
rxn1264,,,Ex_quln,qulnxt -> quln,,,,,,
rxn1265,,,Ex_q,qxt -> q,,,,,,
rxn1266,,,Ex_R2hacd,R2hacdxt <-> R2hacd,,,,,,
rxn1267,,,Ex_R3hbcoa,R3hbcoaxt <-> R3hbcoa,,,,,,
rxn1268,,,Ex_racalaP,racalaPxt <-> racalaP,,,,,,
rxn1269,,,Ex_ralaP,ralaPxt -> ralaP,,,,,,
rxn1270,,,Ex_Rcl,Rclxt <-> Rcl,,,,,,
rxn1271,,,Ex_Rhcit,Rhcitxt <-> Rhcit,,,,,,
rxn1272,,,Ex_rhcys,rhcysxt <-> rhcys,,,,,,
rxn1273,,,Ex_Rh,Rhxt -> Rh,,,,,,
rxn1274,,geneCsal1728,Ex_ribD,ribDxt -> ribD,,"5,6,59,53",,,,
rxn1275,,,Ex_rrnaN2mgua,rrnaN2mguaxt <-> rrnaN2mgua,,,,,,
rxn1276,,,Ex_rrnaN6made,rrnaN6madext <-> rrnaN6made,,,,,,
rxn1277,,,Ex_rrna,rrnaxt -> rrna,,,,,,
rxn1278,,,Ex_RRtartr,RRtartrxt -> RRtartr,,,,,,
rxn1279,,,Ex_RSgth,RSgthxt <-> RSgth,,,,,,
rxn1280,,,Ex_S2hlacd,S2hlacdxt -> S2hlacd,,,,,,
rxn1281,,,Ex_S3a2mppn,S3a2mppnxt -> S3a2mppn,,,,,,
rxn1282,,,Ex_saacdB,saacdBxt <-> saacdB,,,,,,
rxn1283,,,Ex_salicald,salicaldxt -> salicald,,,,,,
rxn1284,,,Ex_sbtD,sbtDxt -> sbtD,,"5,6,59",,,,
rxn1285,,,Ex_sbzcoa,sbzcoaxt <-> sbzcoa,,,,,,
rxn1286,,,Ex_selenate,selenatext <-> selenate,,,,,,
rxn1287,,,Ex_selenite,selenitext -> selenite,,,,,,
rxn1288,,,Ex_selnp,selnpxt <-> selnp,,,,,,
rxn1289,,,Ex_seln,selnxt -> seln,,,,,,
rxn1290,,geneCsal1046,Ex_serL,serLxt -> serL,,"5,6,59,53",,,,
rxn1291,,,Ex_sertrna(sec),sertrna(sec)xt <-> sertrna(sec),,,,,,
rxn1292,,,Ex_sertrna,sertrnaxt <-> sertrna,,,,,,
rxn1293,,geneCsal1329,Ex_Sfglutth,Sfglutthxt <-> Sfglutth,,53,,,,
rxn1294,,,Ex_sgrpi,sgrpixt <-> sgrpi,,,,,,
rxn1295,,,Ex_sgr,sgrxt -> sgr,,,,,,
rxn1296,,,Ex_sl26da,sl26daxt -> sl26da,,,,,,
rxn1297,,,Ex_so3,so3xt <-> so3,,,,,,
rxn1298,,,Ex_sprm,sprmxt <-> sprm,,,,,,
rxn1299,,,Ex_sq,sqxt <-> sq,,,,,,
rxn1300,,,Ex_ssaltpp,ssaltppxt <-> ssaltpp,,,,,,
rxn1301,,,Ex_ssaltpp,ssaltppxt -> ssaltpp,,,,,,
rxn1302,,,Ex_SsometL,SsometLxt <-> SsometL,,,,,,
rxn1303,,,Ex_sucarg,sucargxt <-> sucarg,,,,,,
rxn1304,,,Ex_sucbz,sucbzxt -> sucbz,,,,,,
rxn1305,,,Ex_succ,succxt -> succ,,"5,6 ,59",,,,
rxn1306,,,Ex_suchms,suchmsxt -> suchms,,,,,,
rxn1307,,,Ex_o2,o2xt <->o2,,,,,,
rxn1308,,,Ex_sucsal,sucsalxt -> sucsal,,,,,,
rxn1309,,,Ex_t23dhacoa,t23dhacoaxt -> t23dhacoa,,,,,,
rxn1310,,,Ex_tagdpD,tagdpDxt <-> tagdpD,,,,,,
rxn1311,,,Ex_tagur,tagurxt <-> tagur,,,,,,
rxn1312,,,Ex_tartrL,tartrLxt -> tartrL,,"5,6,59",,,,
rxn1313,,,Ex_ta,taxt <-> ta,,,,,,
rxn1314,,,Ex_tag,tagxt -> tag,,,,,,
rxn1315,,geneCsal0121,Ex_tcynt,tcyntxt <-> tcynt,,53,,,,
rxn1316,,,Ex_td2coa,td2coaxt <-> td2coa,,,,,,
rxn1317,,,Ex_tdeACP,tdeACPxt -> tdeACP,,,,,,
rxn1318,,,Ex_tdec2eACP,tdec2eACPxt <-> tdec2eACP,,,,,,
rxn1319,,,Ex_tdecoa,tdecoaxt <-> tdecoa,,,,,,
rxn1320,,,Ex_thdp,thdpxt <-> thdp,,,,,,
rxn1321,,,Ex_thm,thmxt <-> thm,,,,,,
rxn1322,,,Ex_thprnmetine,thprnmetinext <-> thprnmetine,,,,,,
rxn1323,,,Ex_thprn,thprnxt -> thprn,,,,,,
rxn1324,,,Ex_thrtrna,thrtrnaxt <-> thrtrna,,,,,,
rxn1325,,,Ex_thymd,thymdxt -> thymd,,,,,,
rxn1326,,,Ex_thym,thymxt <-> thym,,,,,,
rxn1327,,,Ex_tre,trext <-> tre,,"5,6,59",,,,
rxn1328,,,Ex_tre,trext -> tre,,"5,6,59",,,,
rxn1329,,,Ex_tri,trixt <-> tri,,,,,,
rxn1330,,,Ex_trna2Omgsn,trna2Omgsnxt <-> trna2Omgsn,,,,,,
rxn1331,,,Ex_trna54rthymd,trna54rthymdxt <-> trna54rthymd,,,,,,
rxn1332,,,Ex_trna54uri,trna54urixt -> trna54uri,,,,,,
rxn1333,,,Ex_trna5mam2thdylt,trna5mam2thdyltxt <-> trna5mam2thdylt,,,,,,
rxn1334,,,Ex_trna6ipr,trna6iprxt <-> trna6ipr,,,,,,
rxn1335,,,Ex_trna7am7cbgua,trna7am7cbguaxt <-> trna7am7cbgua,,,,,,
rxn1336,,,Ex_trnaala,trnaalaxt -> trnaala,,,,,,
rxn1337,,,Ex_trnaarg,trnaargxt -> trnaarg,,,,,,
rxn1338,,,Ex_trnaasp,trnaaspxt -> trnaasp,,,,,,
rxn1339,,,Ex_trnacys,trnacysxt -> trnacys,,,,,,
rxn1340,,,Ex_trnagln,trnaglnxt -> trnagln,,,,,,
rxn1341,,,Ex_trnaglu,trnagluxt -> trnaglu,,,,,,
rxn1342,,,Ex_trnagly,trnaglyxt -> trnagly,,,,,,
rxn1343,,,Ex_trnagua,trnaguaxt -> trnagua,,,,,,
rxn1344,,,Ex_trnahis,trnahisxt -> trnahis,,,,,,
rxn1345,,,Ex_trnaile,trnailext -> trnaile,,,,,,
rxn1346,,,Ex_trnaleu,trnaleuxt -> trnaleu,,,,,,
rxn1347,,,Ex_trnalys,trnalysxt -> trnalys,,,,,,
rxn1348,,,Ex_trnamet,trnametxt -> trnamet,,,,,,
rxn1349,,,Ex_trnaN1mgua,trnaN1mguaxt <-> trnaN1mgua,,,,,,
rxn1350,,,Ex_trnaN7mgua,trnaN7mguaxt <-> trnaN7mgua,,,,,,
rxn1351,,,Ex_trnaphe,trnaphext -> trnaphe,,,,,,
rxn1352,,,Ex_trnapro,trnaproxt -> trnapro,,,,,,
rxn1353,,,Ex_trnaque,trnaquext <-> trnaque,,,,,,
rxn1354,,,Ex_trnasecys,trnasecysxt -> trnasecys,,,,,,
rxn1355,,,Ex_trnaser,trnaserxt -> trnaser,,,,,,
rxn1356,,,Ex_trnathr,trnathrxt -> trnathr,,,,,,
rxn1357,,,Ex_trnatrp,trnatrpxt -> trnatrp,,,,,,
rxn1358,,,Ex_trnatyr,trnatyrxt -> trnatyr,,,,,,
rxn1359,,,Ex_trnaval,trnavalxt -> trnaval,,,,,,
rxn1360,,,Ex_trptrna,trptrnaxt <-> trptrna,,,,,,
rxn1361,,,Ex_tr,trxdsxt -> trxds,,,,,,
rxn1362,,,Ex_tr,trxxt <-> trx,,,,,,
rxn1363,,,Ex_tsul,tsulxt -> tsul,,,,,,
rxn1364,,,Ex_tt2345dhacoa,tt2345dhacoaxt <-> tt2345dhacoa,,,,,,
rxn1365,,,Ex_tyrL,tyrLxt -> tyrL,,,,,,
rxn1366,,,Ex_tyrtrna,tyrtrnaxt <-> tyrtrna,,,,,,
rxn1367,,,Ex_u23ga,u23gaxt -> u23ga,,,,,,
rxn1368,,,Ex_u3aga,u3agaxt <-> u3aga,,,,,,
rxn1369,,,Ex_uagmda,uagmdaxt <-> uagmda,,,,,,
rxn1370,,,Ex_udcpdp,udcpdpxt <-> udcpdp,,,,,,
rxn1371,,,Ex_udcp,udcpxt -> udcp,,,,,,
rxn1372,,,Ex_udpacgal,udpacgalxt <-> udpacgal,,,,,,
rxn1373,,,Ex_udpamagglaa,udpamagglaaxt <-> udpamagglaa,,,,,,
rxn1374,,,Ex_udpamaggl,udpamagglxt -> udpamaggl,,,,,,
rxn1375,,,Ex_udpidu,udpiduxt <-> udpidu,,,,,,
rxn1376,,,Ex_ugmda,ugmdaxt -> ugmda,,,,,,
rxn1377,,,Ex_ugmd,ugmdxt <-> ugmd,,,,,,
rxn1378,,,Ex_uPPII,uPPIIxt <-> uPPII,,,,,,
rxn1379,,,Ex_urate,uratext <-> urate,,,,,,
rxn1380,,,Ex_urdglyc,urdglycxt -> urdglyc,,,,,,
rxn1381,,,Ex_uri,urixt <-> uri,,,,,,
rxn1382,,,Ex_valtrna,valtrnaxt <-> valtrna,,,,,,
rxn1383,,,Ex_vanillate,vanillatext -> vanillate,,,,,,
rxn1384,,,Ex_xtsn,xtsnxt -> xtsn,,,,,,
rxn1385,,,Ex_xyl,xylxt -> xyl,,"5,6,59",,,,
rxn1386,,,,betaldh <-> betald + h2o,,,,,,
rxn1387,,,Biomass,0.000223 10fthf + 0.000223 2dmmql8 + 0.000223 5mthf + 0.000279 accoa + 0.000223 adocbl + 0.499100 alaL + 0.000223 amet + 0.287400 argL + 0.234200 asnL + 0.234200 aspL + 59.980000 atp + 0.000223 chor + 0.004512 cl +   0.000168 coa +  0.129800 ctp +  0.088990 cysL + 0.024810 datp + 0.025610 dctp + 0.025610 dgtp + 0.024810 dttp +  0.000223 fad + 0.006767 fe2 + 0.255700 glnL + 0.255700 gluL + 0.595300 gly + 0.000223 gthrd + 0.209100 gtp + 54.613000 h2o +  0.092100 hisL + 0.282300 ileL + 0.437800 leuL + 0.333400 lysL + 0.000031 malcoa + 0.149300 metL +  0.000223 mlthf +  0.005381 murein4p4p + 0.005448 murein4px4p + 0.000673 murein4px4px4p + 0.001787 nad + 0.000045 nadh + 0.000112 nadp + 0.000335 nadph + 0.011280 nh4 + 0.04417 pe160 +  0.034348 pe161 +  0.017707pe181 + 0.010599pg160 + 0.008244 pg161  + 0.004249pg181 + 0.180000 pheL + 0.000223 pheme + 0.214800 proL + 0.033270 ptrc + 0.000223 pydx5p + 0.000223 q8h2 + 0.000223 ribflv + 0.209700 serL + 0.003760 so4 + 0.006744 spmd + 0.000098 succoa + 0.000223 thf + 0.000223 thmpp + 0.246500 thrL + 0.055230 trpL + 0.134000 tyrL + 0.000055 udcpdp + 0.140100 utp + 0.411900 valL -> 59.810000 adp + 59.810000 h + 58.806200 pi + 0.749800 ppi ,,,,,,
